fetched_at,commence_time,home_team,away_team,sportsbook,home_spread,away_spread,home_spread_price,away_spread_price
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,ATL,CAR,draftkings,2.5,-2.5,100,-120
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,ATL,CAR,betus,2.0,-2.0,100,-120
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,ATL,CAR,mybookieag,2.5,-2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,ATL,CAR,lowvig,2.5,-2.5,101,-112
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,ATL,CAR,betonlineag,2.5,-2.5,100,-120
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,ATL,CAR,fanduel,2.5,-2.5,-104,-118
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,ATL,CAR,betrivers,3.0,-3.0,-114,-107
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,ATL,CAR,betmgm,3.0,-3.0,-120,-108
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,ATL,CAR,bovada,2.5,-2.5,100,-120
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,BAL,NO,draftkings,-8.5,8.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,BAL,NO,betus,-9.0,9.0,100,-120
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,BAL,NO,mybookieag,-9.0,9.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,BAL,NO,lowvig,-9.0,9.0,100,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,BAL,NO,betonlineag,-9.0,9.0,101,-121
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,BAL,NO,fanduel,-8.5,8.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,BAL,NO,betrivers,-8.5,8.5,-107,-114
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,BAL,NO,betmgm,-8.0,8.0,-110,-108
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,BAL,NO,bovada,-8.0,8.0,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,CHI,MIN,draftkings,-4.5,4.5,-112,-108
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,CHI,MIN,mybookieag,-4.5,4.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,CHI,MIN,lowvig,-4.5,4.5,-105,-105
2026-09-20T13:26:33.524167+00:00,2026-09-20T17:00:00Z,CHI,MIN,betonlineag,-4.5,4.5,-110,-110
